timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/07/02 10:53:16.658, 40 %, 20 %, 29535 MiB, 189.27 W
2026/07/02 10:53:17.658, 46 %, 19 %, 29535 MiB, 234.22 W
2026/07/02 10:53:18.658, 46 %, 19 %, 29535 MiB, 224.48 W
2026/07/02 10:53:19.658, 20 %, 10 %, 29535 MiB, 214.94 W
2026/07/02 10:53:20.659, 50 %, 28 %, 29535 MiB, 196.70 W
2026/07/02 10:53:21.659, 59 %, 30 %, 29535 MiB, 238.60 W
2026/07/02 10:53:22.659, 59 %, 30 %, 29535 MiB, 228.03 W
2026/07/02 10:53:23.659, 48 %, 25 %, 29535 MiB, 192.49 W
2026/07/02 10:53:24.659, 49 %, 22 %, 29535 MiB, 230.06 W
2026/07/02 10:53:25.659, 47 %, 20 %, 29535 MiB, 219.01 W
2026/07/02 10:53:26.659, 50 %, 28 %, 29535 MiB, 194.25 W
2026/07/02 10:53:27.659, 60 %, 31 %, 29535 MiB, 247.96 W
2026/07/02 10:53:28.659, 62 %, 31 %, 29535 MiB, 251.07 W
