qwen-code SGLang proxy listening on http://127.0.0.1:30011/v1
05/Jul/2026 14:46:45 - "GET /health HTTP/1.1" 200 -
05/Jul/2026 14:46:46 - "POST /v1/chat/completions HTTP/1.1" 200 -
05/Jul/2026 14:46:48 - "POST /v1/chat/completions HTTP/1.1" 200 -
05/Jul/2026 14:46:52 - "POST /v1/chat/completions HTTP/1.1" 200 -
05/Jul/2026 14:46:54 - "POST /v1/chat/completions HTTP/1.1" 200 -
05/Jul/2026 14:46:55 - "POST /v1/chat/completions HTTP/1.1" 200 -
05/Jul/2026 14:46:56 - "POST /v1/chat/completions HTTP/1.1" 200 -
05/Jul/2026 14:46:57 - "POST /v1/chat/completions HTTP/1.1" 200 -
